ip_name,series_name,series_year,product_name,category_group,category,kuji_prize_tier,characters,character_aliases,manufacturer,official_price,release_date,tags,image_url,source_url
進擊的巨人,進擊的巨人～Anique線上特展～,2025,兵團外套 復刻版,服裝類,外套,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼;艾爾文·史密斯;漢吉·佐耶;約翰·基爾休坦;莎夏·布勞斯;柯尼·史普林格;赫里斯塔·蘭斯,,Anique,¥16500,2025-07-15,Anique;服裝;調查兵團;復刻,https://shop.anique.jp/images/snk_jacket_2025.jpg,https://shop.anique.jp/products/snk-jacket-2025
進擊的巨人,景品 Luminasta 進擊的巨人,2025,Luminasta 莎夏·布勞斯 吃貨Ver.,立體公仔類,景品公仔,,莎夏·布勞斯,白薯女,SEGA,非賣品,2025-11-20,SEGA;Luminasta;景品;夾娃娃機,https://segaplaza.jp/images/2025sasha.jpg,https://segaplaza.jp/products/2025sasha
進擊的巨人,黏土人 進擊的巨人,2024,黏土人 艾連·葉卡 最終季Ver.,立體公仔類,公仔,,艾連·葉卡,艾主席,Good Smile Company,¥6100,2024-04-30,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_eren_fs.jpg,https://www.goodsmile.info/zh/product/2024eren/
進擊的巨人,黏土人 進擊的巨人,2024,黏土人 阿爾敏·亞魯雷特 最終季Ver.,立體公仔類,公仔,,阿爾敏·亞魯雷特,,Good Smile Company,¥6100,2024-05-31,黏土人;GSC;可動公仔,,https://www.goodsmile.info/zh/product/2024armin/
進擊的巨人,一番賞 進擊的巨人～地鳴的發動～,2024,米卡莎·阿卡曼 模型公仔,立體公仔類,公仔,B賞,米卡莎·阿卡曼,,BANDAI SPIRITS,¥850,2024-02-17,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/shingeki2024
進擊的巨人,一番賞 進擊的巨人～地鳴的發動～,2024,艾連·葉卡 始祖巨人Ver. 壓克力立牌,生活雜貨類,立牌,E賞,艾連·葉卡,艾主席;始祖巨人,BANDAI SPIRITS,¥850,2024-02-17,一番賞;BANDAI SPIRITS;立牌,,https://1kuji.com/products/shingeki2024
進擊的巨人,進擊的巨人 The Final Season,2024,壓克力立牌 戰鬥服Ver. 里維,生活雜貨類,立牌,,里維·阿卡曼,兵長,Movic,¥1980,2024-06-15,立牌;Movic;戰鬥服,,https://www.movic.jp/shop/g/g02150-2024-levi/
進擊的巨人,進擊的巨人 The Final Season,2024,壓克力立牌 戰鬥服Ver. 漢吉,生活雜貨類,立牌,,漢吉·佐耶,團長;分隊長,Movic,¥1980,2024-06-15,立牌;Movic;戰鬥服,,https://www.movic.jp/shop/g/g02150-2024-hange/
進擊的巨人,扭蛋 進擊的巨人～等待中～第二彈,2024,等待中公仔 里維,立體公仔類,扭蛋公仔,,里維·阿卡曼,兵長,BANDAI,¥400,2024-08-20,扭蛋;萬代;等待中,,https://gashapon.jp/products/detail.php?jan_code=2024levi
進擊的巨人,USJ 日本環球影城～進擊的巨人～,2024,立體機動裝置 造型金屬吊飾,配戴隨身類,吊飾,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼,,USJ,¥2500,2024-03-01,環球影城;USJ限定;立體機動裝置,,https://www.usj.co.jp/web/ja/jp
進擊的巨人,ARTFX J,2023,ARTFX J 里維 Renewal Package Ver.,立體公仔類,公仔,,里維·阿卡曼,兵長,壽屋,¥13200,2023-10-25,壽屋;比例公仔;再販,,https://www.kotobukiya.co.jp/product/product-2023-levi/
進擊的巨人,進擊的巨人～The Final Season 完結紀念～,2023,完結紀念 A4資料夾,紙製/影像類,資料夾,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特,艾主席;;,Anique,¥880,2023-11-05,Anique;完結紀念;資料夾,,https://shop.anique.jp/products/snk-folder-2023
進擊的巨人,扭蛋 抱線公仔 進擊的巨人,2023,抱線公仔 艾爾文,立體公仔類,扭蛋公仔,,艾爾文·史密斯,團長,BANDAI,¥300,2023-05-15,扭蛋;萬代;線套公仔,,https://gashapon.jp/products/2023-erwin
進擊的巨人,POP UP PARADE,2023,POP UP PARADE 約翰·基爾休坦,立體公仔類,公仔,,約翰·基爾休坦,讓讓子,Good Smile Company,¥4800,2023-09-30,POP UP PARADE;GSC;不可動,,https://www.goodsmile.info/zh/product/2023jean/
進擊的巨人,POP UP PARADE,2023,POP UP PARADE 莎夏·布勞斯,立體公仔類,公仔,,莎夏·布勞斯,白薯女,Good Smile Company,¥4800,2023-09-30,POP UP PARADE;GSC;不可動,,https://www.goodsmile.info/zh/product/2023sasha/
進擊的巨人,進擊的巨人～調查兵團聯名～,2024,調查兵團造型手錶,配戴隨身類,手錶,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼;漢吉·佐耶,,SuperGroupies,¥19800,2024-11-15,SuperGroupies;聯名;手錶,,https://super-groupies.com/product/snk_watch_2024
進擊的巨人,進擊的巨人～調查兵團聯名～,2024,調查兵團長靴,服裝類,鞋子,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼;漢吉·佐耶,,SuperGroupies,¥24200,2024-11-15,SuperGroupies;聯名;鞋子,,https://super-groupies.com/product/snk_boots_2024
進擊的巨人,黏土人 進擊的巨人,2022,黏土人 皮克·芬格爾,立體公仔類,公仔,,皮克·芬格爾,車力巨人,Good Smile Company,¥6100,2022-12-30,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_pieck.jpg,https://www.goodsmile.info/zh/product/2022pieck/
進擊的巨人,黏土人 進擊的巨人,2022,黏土人 萊納·布朗,立體公仔類,公仔,,萊納·布朗,鎧甲巨人;萊納,Good Smile Company,¥6100,2022-11-30,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_reiner.jpg,https://www.goodsmile.info/zh/product/2022reiner/
進擊的巨人,一番賞 進擊的巨人～自由的代價～,2022,里維·阿卡曼 負傷Ver. 模型公仔,立體公仔類,公仔,A賞,里維·阿卡曼,兵長,BANDAI SPIRITS,¥850,2022-08-20,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/shingeki2022
進擊的巨人,一番賞 進擊的巨人～自由的代價～,2022,艾爾文·史密斯 模型公仔,立體公仔類,公仔,B賞,艾爾文·史密斯,團長,BANDAI SPIRITS,¥850,2022-08-20,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/shingeki2022
進擊的巨人,一番賞 進擊的巨人～自由的代價～,2022,壓克力吊飾,配戴隨身類,吊飾,G賞,約翰·基爾休坦;柯尼·史普林格;莎夏·布勞斯,讓讓子;;白薯女,BANDAI SPIRITS,¥850,2022-08-20,一番賞;BANDAI SPIRITS;盲抽,,https://1kuji.com/products/shingeki2022
進擊的巨人,MAPPA SHOWCASE 進擊的巨人The Final Season,2022,原畫明信片套組,紙製/影像類,明信片,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特,艾主席;;,MAPPA,¥1100,2022-02-15,明信片;MAPPA;原畫,,https://mappa-onlineshop.com/products/snk_2022_postcards
進擊的巨人,MAPPA SHOWCASE 進擊的巨人The Final Season,2022,艾連 記憶的碎片 托特包,包袋類,托特包,,艾連·葉卡,艾主席,MAPPA,¥3300,2022-02-15,托特包;MAPPA,,https://mappa-onlineshop.com/products/snk_2022_bag
進擊的巨人,POP UP PARADE,2022,POP UP PARADE 艾連·葉卡 進擊的巨人Ver.,立體公仔類,公仔,,艾連·葉卡,進擊的巨人;艾主席,Good Smile Company,¥4800,2022-06-30,POP UP PARADE;GSC;不可動,,https://www.goodsmile.info/zh/product/2022eren_titan/
進擊的巨人,POP UP PARADE,2022,POP UP PARADE 里維,立體公仔類,公仔,,里維·阿卡曼,兵長,Good Smile Company,¥4800,2022-07-31,POP UP PARADE;GSC;不可動,,https://www.goodsmile.info/zh/product/2022levi/
進擊的巨人,進擊的巨人×三麗鷗家族,2022,聯名壓克力立牌 里維×酷企鵝,生活雜貨類,立牌,,里維·阿卡曼,兵長,Movic,¥1650,2022-09-10,聯名;三麗鷗;立牌,,https://www.movic.jp/shop/g/g02150-sanrio-levi/
進擊的巨人,進擊的巨人×三麗鷗家族,2022,聯名壓克力立牌 艾連×布丁狗,生活雜貨類,立牌,,艾連·葉卡,艾主席,Movic,¥1650,2022-09-10,聯名;三麗鷗;立牌,,https://www.movic.jp/shop/g/g02150-sanrio-eren/
進擊的巨人,USJ 日本環球影城～進擊的巨人XR乘車遊～,2022,調查兵團 筆記本,紙製/影像類,筆記本,,艾連·葉卡;里維·阿卡曼;艾爾文·史密斯,;兵長;團長,USJ,¥1200,2022-03-04,環球影城;USJ限定;文具,,https://www.usj.co.jp/web/ja/jp
進擊的巨人,扭蛋 進擊的巨人～立體機動裝置～,2021,立體機動裝置 1/12 比例模型,立體公仔類,扭蛋公仔,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼,,,,BANDAI,¥500,2021-11-20,扭蛋;萬代;武器模型
進擊的巨人,一番賞 進擊的巨人～調查兵團的覺悟～,2021,漢吉·佐耶 模型公仔,立體公仔類,公仔,C賞,漢吉·佐耶,團長;分隊長,BANDAI SPIRITS,¥800,2021-08-25,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/shingeki2021
進擊的巨人,進擊的巨人The Final Season Blu-ray,2021,The Final Season 第1卷 特典壓克力板,生活雜貨類,立牌,,艾連·葉卡;萊納·布朗,艾主席;鎧甲巨人,Pony Canyon,非賣品,2021-07-07,藍光特典;非賣品;壓克力,,https://shingeki.tv/final/product/
進擊的巨人,一番賞 進擊的巨人～獸之巨人的絕望～,2020,艾爾文·史密斯 模型公仔,立體公仔類,公仔,A賞,艾爾文·史密斯,團長,BANDAI SPIRITS,¥800,2020-10-15,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/shingeki2020
進擊的巨人,一番賞 進擊的巨人～獸之巨人的絕望～,2020,里維·阿卡曼 模型公仔,立體公仔類,公仔,B賞,里維·阿卡曼,兵長,BANDAI SPIRITS,¥800,2020-10-15,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/shingeki2020
進擊的巨人,一番賞 進擊的巨人～獸之巨人的絕望～,2020,調查兵團徽章 壓克力吊飾,配戴隨身類,吊飾,F賞,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼;艾爾文·史密斯;漢吉·佐耶,艾主席;;;兵長;團長;分隊長,BANDAI SPIRITS,¥800,2020-10-15,一番賞;BANDAI SPIRITS;盲抽,,https://1kuji.com/products/shingeki2020
進擊的巨人,黏土人 進擊的巨人,2020,黏土人 艾爾文·史密斯,立體公仔類,公仔,,艾爾文·史密斯,團長,Good Smile Company,¥5500,2020-04-30,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_erwin.jpg,https://www.goodsmile.info/zh/product/2020erwin/
進擊的巨人,USJ 日本環球影城～進擊的巨人XR乘車遊～,2020,調查兵團夾克,服裝類,外套,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼,艾主席;;;兵長,USJ,¥7500,2020-01-21,環球影城;USJ限定;服裝,,https://www.usj.co.jp/web/ja/jp
進擊的巨人,進擊的巨人～WIT STUDIO 感謝祭～,2020,紀念壓克力立牌 艾連,生活雜貨類,立牌,,艾連·葉卡,艾主席,WIT STUDIO,¥1500,2020-05-20,WIT STUDIO;壓克力立牌;限定,,https://witstudio.co.jp/products/snk_2020_eren
進擊的巨人,進擊的巨人～WIT STUDIO 感謝祭～,2020,紀念壓克力立牌 里維,生活雜貨類,立牌,,里維·阿卡曼,兵長,WIT STUDIO,¥1500,2020-05-20,WIT STUDIO;壓克力立牌;限定,,https://witstudio.co.jp/products/snk_2020_levi
進擊的巨人,扭蛋 進擊的巨人～人物收藏～,2019,坐姿公仔 艾連,立體公仔類,扭蛋公仔,,艾連·葉卡,艾主席,BANDAI,¥300,2019-09-10,扭蛋;萬代;坐姿,,https://gashapon.jp/products/2019-eren
進擊的巨人,扭蛋 進擊的巨人～人物收藏～,2019,坐姿公仔 漢吉,立體公仔類,扭蛋公仔,,漢吉·佐耶,團長;分隊長,BANDAI,¥300,2019-09-10,扭蛋;萬代;坐姿,,https://gashapon.jp/products/2019-hange
進擊的巨人,一番賞 進擊的巨人～巨人侵襲～,2019,壓克力杯墊 艾連與里維,生活雜貨類,杯墊,G賞,艾連·葉卡;里維·阿卡曼,艾主席;兵長,BANDAI SPIRITS,¥750,2019-12-05,一番賞;BANDAI SPIRITS;杯墊,,https://1kuji.com/products/shingeki2019
進擊的巨人,figma 進擊的巨人,2019,figma 艾爾文·史密斯,立體公仔類,公仔,,艾爾文·史密斯,團長,Max Factory,¥11815,2019-04-30,figma;可動公仔;Max Factory,https://images.goodsmile.info/figma_erwin.jpg,https://www.goodsmile.info/zh/product/2019figma_erwin/
進擊的巨人,進擊的巨人～日田市聯名～,2019,銅像落成紀念 帆布袋,包袋類,帆布袋,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特,艾主席;;,日田市觀光協會,¥2000,2019-11-08,日田市;大分縣;聯名商品,,https://hita-snk.com/products/2019bag
進擊的巨人,進擊的巨人×東武動物公園,2020,聯名徽章 獸之巨人,配戴隨身類,徽章,,吉克·葉卡,獸之巨人,東武動物公園,¥500,2020-08-15,東武動物公園;聯名;盲抽,,https://tobuzoo.com/snk/2020badge_zeke
進擊的巨人,進擊的巨人×東武動物公園,2020,聯名徽章 里維,配戴隨身類,徽章,,里維·阿卡曼,兵長,東武動物公園,¥500,2020-08-15,東武動物公園;聯名;盲抽,,https://tobuzoo.com/snk/2020badge_levi
進擊的巨人,黏土人 進擊的巨人,2018,黏土人 里維 打掃Ver.,立體公仔類,公仔,,里維·阿卡曼,兵長,Good Smile Company,¥4500,2018-06-30,黏土人;GSC;可動公仔;打掃,,https://www.goodsmile.info/zh/product/
進擊的巨人,一番賞 進擊的巨人～呼喚你的名字～,2018,里維·阿卡曼 模型公仔,立體公仔類,公仔,B賞,里維·阿卡曼,兵長,BANDAI SPIRITS,¥750,2018-08-25,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/
進擊的巨人,一番賞 進擊的巨人～呼喚你的名字～,2018,艾連·葉卡 模型公仔,立體公仔類,公仔,A賞,艾連·葉卡,艾主席,BANDAI SPIRITS,¥750,2018-08-25,一番賞;BANDAI SPIRITS;公仔,,https://1kuji.com/products/
進擊的巨人,進擊的巨人×animate cafe,2018,聯名壓克力立牌 艾連,生活雜貨類,立牌,,艾連·葉卡,艾主席,animate,¥1200,2018-10-15,animate;cafe;立牌,,https://cafe.animate.co.jp/
進擊的巨人,進擊的巨人×animate cafe,2018,聯名壓克力立牌 里維,生活雜貨類,立牌,,里維·阿卡曼,兵長,animate,¥1200,2018-10-15,animate;cafe;立牌,,https://cafe.animate.co.jp/
進擊的巨人,figma 進擊的巨人,2018,figma 漢吉·佐耶,立體公仔類,公仔,,漢吉·佐耶,團長;分隊長,Max Factory,¥8148,2018-09-30,figma;可動公仔;Max Factory,,https://www.goodsmile.info/
進擊的巨人,進擊的巨人 漫畫特裝版,2018,第26卷 特裝版附錄 艾連與里維 小冊子,出版品類,小冊子,,艾連·葉卡;里維·阿卡曼,艾主席;兵長,講談社,¥1050,2018-08-09,特裝版;附錄;漫畫,,https://kc.kodansha.co.jp/
進擊的巨人,進擊的巨人 漫畫特裝版,2018,第24卷 特裝版附錄 亞妮外傳 DVD,影音類,DVD,,亞妮·雷恩哈特,女巨人,講談社,¥3000,2018-04-09,特裝版;附錄;DVD;OAD,,https://kc.kodansha.co.jp/
進擊的巨人,USJ 日本環球影城～進擊的巨人 THE REAL～,2017,立體機動裝置 水壺,生活雜貨類,水壺,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特;里維·阿卡曼,,,,USJ,¥3200,2017-01-13,環球影城;USJ限定;水壺
進擊的巨人,一番賞 進擊的巨人～進擊的軌跡～,2017,大浴巾,生活雜貨類,毛巾,C賞,艾連·葉卡;里維·阿卡曼;艾爾文·史密斯,艾主席;兵長;團長,BANPRESTO,¥620,2017-04-15,一番賞;浴巾,,https://1kuji.com/
進擊的巨人,一番賞 進擊的巨人～進擊的軌跡～,2017,軟膠吊飾,配戴隨身類,吊飾,H賞,約翰·基爾休坦;馬可·波特;莎夏·布勞斯,讓讓子;;白薯女,BANPRESTO,¥620,2017-04-15,一番賞;盲抽;軟膠,,https://1kuji.com/
進擊的巨人,BRAVE-ACT,2017,BRAVE-ACT 1/8 里維,立體公仔類,公仔,,里維·阿卡曼,兵長,千值練,¥12000,2017-12-30,千值練;比例公仔,,https://sen-ti-nel.co.jp/
進擊的巨人,BRAVE-ACT,2017,BRAVE-ACT 1/8 艾爾文·史密斯,立體公仔類,公仔,,艾爾文·史密斯,團長,千值練,¥13500,2017-11-30,千值練;比例公仔,,https://sen-ti-nel.co.jp/
進擊的巨人,進擊的巨人×Lawson,2017,聯名資料夾 艾連與里維,紙製/影像類,資料夾,,艾連·葉卡;里維·阿卡曼,艾主席;兵長,Lawson,非賣品,2017-05-15,Lawson;聯名;資料夾;滿額贈,,https://www.lawson.co.jp/
進擊的巨人,BRAVE-ACT,2016,BRAVE-ACT 1/8 里維 打掃版,立體公仔類,公仔,,里維·阿卡曼,兵長,千值練,¥9200,2016-01-31,千值練;比例公仔;打掃,,https://sen-ti-nel.co.jp/
進擊的巨人,一番賞 進擊的巨人～邁向自由的進擊～,2015,艾連·葉卡 模型公仔,立體公仔類,公仔,A賞,艾連·葉卡,艾主席,BANPRESTO,¥620,2015-12-10,一番賞;BANPRESTO;公仔,,https://1kuji.com/
進擊的巨人,一番賞 進擊的巨人～邁向自由的進擊～,2015,里維·阿卡曼 模型公仔,立體公仔類,公仔,B賞,里維·阿卡曼,兵長,BANPRESTO,¥620,2015-12-10,一番賞;BANPRESTO;公仔,,https://1kuji.com/
進擊的巨人,一番賞 進擊的巨人～邁向自由的進擊～,2015,自由之翼 玻璃杯,生活雜貨類,杯子,F賞,艾連·葉卡;里維·阿卡曼,艾主席;兵長,BANPRESTO,¥620,2015-12-10,一番賞;BANPRESTO;玻璃杯,,https://1kuji.com/
進擊的巨人,黏土人 進擊的巨人,2015,黏土人 超大型巨人 & 進擊的遊玩套組,立體公仔類,公仔,,超大型巨人,,Good Smile Company,¥4800,2015-03-30,黏土人;GSC;場景組,,https://www.goodsmile.info/
進擊的巨人,ARTFX J,2015,ARTFX J 艾連·葉卡,立體公仔類,公仔,,艾連·葉卡,艾主席,壽屋,¥11000,2015-04-30,壽屋;比例公仔,,https://www.kotobukiya.co.jp/
進擊的巨人,ARTFX J,2016,ARTFX J 米卡莎·阿卡曼,立體公仔類,公仔,,米卡莎·阿卡曼,,壽屋,¥12000,2016-02-28,壽屋;比例公仔,,https://www.kotobukiya.co.jp/
進擊的巨人,進擊的巨人 漫畫特裝版,2015,第16卷 特裝版附錄 無悔的選擇 後篇 DVD,影音類,DVD,,里維·阿卡曼;艾爾文·史密斯,兵長;團長,講談社,¥2848,2015-04-09,特裝版;附錄;DVD;OAD,,https://kc.kodansha.co.jp/
進擊的巨人,進擊的巨人 漫畫特裝版,2014,第15卷 特裝版附錄 無悔的選擇 前篇 DVD,影音類,DVD,,里維·阿卡曼;法蘭·卻區;伊莎貝爾·馬格諾利亞,兵長,講談社,¥2848,2014-12-09,特裝版;附錄;DVD;OAD,,https://kc.kodansha.co.jp/
進擊的巨人,USJ 日本環球影城～進擊的巨人 THE REAL～,2016,自由之翼 披風,服裝類,外套,,艾連·葉卡;里維·阿卡曼,艾主席;兵長,USJ,¥6500,2016-01-15,環球影城;USJ限定;服裝,,https://www.usj.co.jp/
進擊的巨人,景品 Master Stars Piece,2015,MSP 里維,立體公仔類,景品公仔,,里維·阿卡曼,兵長,BANPRESTO,非賣品,2015-07-20,景品;MSP;BANPRESTO,,https://bsp-prize.jp/
進擊的巨人,景品 Master Stars Piece,2015,MSP 艾連·葉卡,立體公仔類,景品公仔,,艾連·葉卡,艾主席,BANPRESTO,非賣品,2015-08-20,景品;MSP;BANPRESTO,,https://bsp-prize.jp/
進擊的巨人,扭蛋 進擊的巨人～桌面防衛戰～,2016,桌面公仔 艾連,立體公仔類,扭蛋公仔,,艾連·葉卡,艾主席,BANDAI,¥300,2016-04-15,扭蛋;萬代;桌面公仔,,https://gashapon.jp/
進擊的巨人,扭蛋 進擊的巨人～桌面防衛戰～,2016,桌面公仔 超大型巨人,立體公仔類,扭蛋公仔,,超大型巨人,,BANDAI,¥300,2016-04-15,扭蛋;萬代;桌面公仔,,https://gashapon.jp/
進擊的巨人,figma 進擊的巨人,2014,figma 米卡莎·阿卡曼,立體公仔類,公仔,,米卡莎·阿卡曼,,Max Factory,¥4907,2014-01-31,figma;可動公仔;Max Factory,https://images.goodsmile.info/figma_mikasa.jpg,https://www.goodsmile.info/zh/product/
進擊的巨人,figma 進擊的巨人,2014,figma 艾連·葉卡,立體公仔類,公仔,,艾連·葉卡,艾主席,Max Factory,¥4907,2014-04-30,figma;可動公仔;Max Factory,https://images.goodsmile.info/figma_eren.jpg,https://www.goodsmile.info/zh/product/
進擊的巨人,figma 進擊的巨人,2014,figma 里維,立體公仔類,公仔,,里維·阿卡曼,兵長,Max Factory,¥4907,2014-06-30,figma;可動公仔;Max Factory,https://images.goodsmile.info/figma_levi.jpg,https://www.goodsmile.info/zh/product/
進擊的巨人,黏土人 進擊的巨人,2014,黏土人 米卡莎·阿卡曼,立體公仔類,公仔,,米卡莎·阿卡曼,,Good Smile Company,¥4000,2014-01-31,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_mikasa.jpg,https://www.goodsmile.info/zh/product/
進擊的巨人,黏土人 進擊的巨人,2013,黏土人 超大型巨人,立體公仔類,公仔,,超大型巨人,,Good Smile Company,¥4000,2013-12-30,黏土人;GSC;可動公仔,https://images.goodsmile.info/nendoroid_colossal.jpg,https://www.goodsmile.info/zh/product/
進擊的巨人,一番賞 進擊的巨人～飛吧！調查兵團～,2014,里維·阿卡曼 模型公仔,立體公仔類,公仔,A賞,里維·阿卡曼,兵長,BANPRESTO,¥600,2014-08-10,一番賞;BANPRESTO;公仔,,https://1kuji.com/
進擊的巨人,一番賞 進擊的巨人～壁外調查～,2013,米卡莎·阿卡曼 模型公仔,立體公仔類,公仔,A賞,米卡莎·阿卡曼,,BANPRESTO,¥600,2013-05-25,一番賞;BANPRESTO;公仔,,https://1kuji.com/
進擊的巨人,一番賞 進擊的巨人～壁外調查～,2013,艾連·葉卡 模型公仔,立體公仔類,公仔,B賞,艾連·葉卡,艾主席,BANPRESTO,¥600,2013-05-25,一番賞;BANPRESTO;公仔,,https://1kuji.com/
進擊的巨人,進擊的巨人×Lawson,2013,聯名資料夾 艾連,紙製/影像類,資料夾,,艾連·葉卡,艾主席,Lawson,非賣品,2013-08-15,Lawson;聯名;資料夾;滿額贈,,https://www.lawson.co.jp/
進擊的巨人,扭蛋 進擊的巨人～Q版人物～,2013,Q版公仔 里維,立體公仔類,扭蛋公仔,,里維·阿卡曼,兵長,BANDAI,¥200,2013-10-15,扭蛋;萬代;Q版公仔,,https://gashapon.jp/
進擊的巨人,扭蛋 進擊的巨人～Q版人物～,2013,Q版公仔 艾連,立體公仔類,扭蛋公仔,,艾連·葉卡,艾主席,BANDAI,¥200,2013-10-15,扭蛋;萬代;Q版公仔,,https://gashapon.jp/
進擊的巨人,進擊的巨人 動畫Blu-ray,2013,第1卷 初回限定版,影音類,藍光光碟,,艾連·葉卡;米卡莎·阿卡曼;阿爾敏·亞魯雷特,艾主席;;,Pony Canyon,¥6300,2013-07-17,BD;初回限定版;Pony Canyon,,https://shingeki.tv/season1/
進擊的巨人,進擊的巨人 動畫Blu-ray,2013,第2卷 初回限定版,影音類,藍光光碟,,里維·阿卡曼;艾爾文·史密斯,兵長;團長,Pony Canyon,¥6300,2013-08-21,BD;初回限定版;Pony Canyon,,https://shingeki.tv/season1/
